course,lecturer,students,venue,room,capacity,timeslot,duration,level
CSC415/ COS331,Dr. Jonathan Oluranti,431,HALL201,HALL201,450,Wednesday_8-9,2,400 & 300
CSC112/CST111,Prof. Oladipupo Olufunke Oyejoke,416,HALL201,HALL201,450,Friday_4-5,2,100
GST211,Unknown Lecturer,402,LARGELH,LARGELH,1000,Wednesday_12-1,2,200
ACC111/11 2,Dr. Nwobu Obiamaka,318,HALL307,HALL307,350,Saturday_4-5,2,100
ACC111/112,Dr. Eriabie Sylvester Osarumwense,316,HALL107,HALL107,500,Monday_2-3,2,100
BUS111,Unknown Lecturer,313,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Tuesday_2-3,2,100
ACC111,Mr. Ogaba Moses,309,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Friday_4-5,2,100
CSC233/211/235,Prof. Oyelade Jelili Olarenwaju,305,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Thursday_12-1,2,200
PSY116,Dr. Agoha Benedict,299,HALL201,HALL201,450,Tuesday_1-2,2,100
ACC119,Dr. Nwobodo Helen Ohioren,298,CHAPEL,CHAPEL,1200,Thursday_11-12,2,100
PSS 112,Unknown Lecturer,297,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Wednesday_11-12,2,100
ARC111,Dr. Olagunju Omoniyi Ogheneruemu,297,COMPUTER_LAB,COMPUTER_LAB,300,Thursday_9-10,1,100
PSY112,Prof. Adekeye Olujide,297,HALL203,HALL203,400,Monday_5-6,2,100
PSS113,Unknown Lecturer,296,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Thursday_2-3,2,100
ARC113/133,Dr. Jegede Oladunni Foluke,293,COLLEGE_HALL_A,COLLEGE_HALL_A,350,Thursday_4-5,2,100
SOC115,Mr. Olore Amos Adebayo,292,LARGELH,LARGELH,1000,Monday_8-9,2,100
CMS111,Unknown Lecturer,292,HALL204,HALL204,400,Wednesday_3-4,2,100
MAT112,Dr. Oluwadare Julius Remi,291,LT1,LT1,2500,Tuesday_4-5,2,100
GET111,Unknown Lecturer,290,HALL203,HALL203,400,Wednesday_3-4,2,100
POS115,Unknown Lecturer,289,LIBRARY,LIBRARY,500,Monday_10-11,2,100
PSI112,Unknown Lecturer,287,LIBRARY,LIBRARY,500,Wednesday_5-6,2,100
MEE 111,Dr. Omotosho Olugbenga Adeshola,286,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Friday_3-4,1,100
GST311,Unknown Lecturer,285,COLLEGE_HALL_B,COLLEGE_HALL_B,350,Saturday_10-11,2,300
MKT111,Unknown Lecturer,285,HALL203,HALL203,400,Wednesday_1-2,2,100
ECO113,Dr. Aderounmu Busayo Olubunmi,281,HALL203,HALL203,400,Friday_4-5,2,100
MAT/MTH111,Mr. Odekina Onuche Gabriel,279,LT1,LT1,2500,Friday_10-11,2,100
COV CIT111,Unknown Lecturer,272,HALL201,HALL201,450,Wednesday_3-4,1,100
MAT 114/ STA 112,Dr. Alao Grace Olafunke,272,HALL306,HALL306,350,Friday_8-9,1,100
PSI 111,Unknown Lecturer,271,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Wednesday_1-2,2,100
TMC111/ COV TMC111,Unknown Lecturer,268,STUDIO 100,STUDIO 100,280,Friday_1-2,1,100
IRL113,Unknown Lecturer,267,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Monday_9-10,2,100
ARC119/132,Mr. Ndimako Onyedikachukwu Oziomachukwu,264,STUDIO 100,STUDIO 100,280,Saturday_4-5,1,100
BUA111,Unknown Lecturer,264,LIBRARY,LIBRARY,500,Monday_4-5,2,100
ENG112,Dr. English Lecturer (ENG placeholder),263,HALL107,HALL107,500,Wednesday_12-1,2,100
MEE111,Dr. Dirisu Joseph Osekhoghene,262,HALL202,HALL202,450,Friday_3-4,1,100
SOC111,Dr. Jegede Ajibade Ebenezer,260,CBN_AUDITORIUM,CBN_AUDITORIUM,700,Saturday_3-4,2,100
ESM112,Unknown Lecturer,260,OVERFLOW_HALL_2,OVERFLOW_HALL_2,800,Friday_4-5,2,100
MCM131,Unknown Lecturer,260,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Friday_11-12,2,100
BUA 111,Unknown Lecturer,258,HALL202,HALL202,450,Wednesday_5-6,2,100
PEE 111/ PET 311,Unknown Lecturer,257,HALL204,HALL204,400,Thursday_2-3,2,100 / 300
PSY 117,Dr. Sussan Olufunmilola Adeusi,257,HALL108,HALL108,350,Saturday_4-5,2,100
BCH453/359,Prof. Adebayo Abiodun Humphrey,253,HALL306,HALL306,350,Thursday_2-3,1,400 & 300
MCM115,Unknown Lecturer,252,OVERFLOW_HALL_1,OVERFLOW_HALL_1,1000,Saturday_5-6,2,100
CSC214,Mr. Osofuye Odunayo,252,LARGELH,LARGELH,1000,Friday_4-5,1,200
CSC231/310,Dr. Jonathan Oluranti,250,CHE 200LH,CHE 200LH,250,Friday_5-6,2,200/300
LIT112,Unknown Lecturer,249,CHE 200LH,CHE 200LH,250,Wednesday_4-5,2,100
PRE413,Unknown Lecturer,248,TEMP_HALL_1,TEMP_HALL_1,250,Monday_8-9,2,100
COV-ENG118,Unknown Lecturer,247,COMPUTER_LAB,COMPUTER_LAB,300,Wednesday_11-12,2,100
ICE111,Unknown Lecturer,245,HALL201,HALL201,450,Saturday_9-10,2,100
GST312,Unknown Lecturer,245,E202,E202,250,Wednesday_3-4,2,300
CHM111,Prof. Williams Akan Bassey,245,HALL204,HALL204,400,Tuesday_4-5,1,100
IRL111,Unknown Lecturer,243,HALL307,HALL307,350,Saturday_3-4,2,100
